<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DESO.V,D,20220515,000000,11.12159,14.42921,11.12159,14.35791,62.495385548499996,0
DESO.V,D,20220516,000000,14.2526,14.2526,12.70566,13.48505,1529.1760280017004,0
DESO.V,D,20220517,000000,15.22,15.87,13.82,14.34,4807.946801347601,0
DESO.V,D,20220518,000000,14.3,15.27,13.55,13.92,2611.6605854257878,0
DESO.V,D,20220519,000000,13.99,15.25,12.35,14.28,3111.4772671730093,0
DESO.V,D,20220520,000000,14.11,14.63,12.46,13.01,5783.14424340365,0
DESO.V,D,20220521,000000,13.05,13.95,12.41,13.39,3944.929921062903,0
DESO.V,D,20220522,000000,13.31,14.5,12.72,13.92,5031.572746933999,0
DESO.V,D,20220523,000000,14.03,15.98,13.53,14.74,5630.914787880499,0
DESO.V,D,20220524,000000,15.07,15.83,12.82,14.16,7682.005041711199,0
DESO.V,D,20220525,000000,13.96,14,12.86,13.2,8084.927130860601,0
DESO.V,D,20220526,000000,13.2,13.25,11.83,12.18,5247.319226310502,0
DESO.V,D,20220527,000000,12.18,12.18,11.13,11.32,2480.2899526830033,0
DESO.V,D,20220528,000000,11.27,11.52,10.77,11.31,7621.608341821893,0
DESO.V,D,20220529,000000,11.32,11.38,11,11.22,2314.353287687397,0
DESO.V,D,20220530,000000,11.25,12.56,11.2,12.52,4636.339111149303,0
DESO.V,D,20220531,000000,12.64,12.72,11.75,12.07,4377.446546314001,0
DESO.V,D,20220601,000000,12.07,12.09,10.84,10.88,1701.6648411442304,0
DESO.V,D,20220602,000000,10.87,10.87,9.89,10.36,5756.441882932808,0
DESO.V,D,20220603,000000,10.43,10.93,9.86,9.99,9092.915738964199,0
DESO.V,D,20220604,000000,9.98,10.07,9.7,9.98,4593.411668798997,0
DESO.V,D,20220605,000000,9.97,10.22,9.86,10.04,6152.739434470992,0
DESO.V,D,20220606,000000,10.06,10.42,9.9,10.07,156823.2458832415,0
DESO.V,D,20220607,000000,10.05,10.15,9.24,9.78,47437.317369509445,0
DESO.V,D,20220608,000000,9.89,10.06,9.28,9.51,63881.44910525829,0
DESO.V,D,20220609,000000,9.43,14.37,9.37,10.36,106685.42678655921,0
DESO.V,D,20220610,000000,10.37,10.5,9.54,9.61,153900.77594853606,0
DESO.V,D,20220611,000000,9.59,9.8,8.8,8.9,10914.35902493999,0
DESO.V,D,20220612,000000,8.85,9.24,8.43,8.84,4588.236163579002,0
DESO.V,D,20220613,000000,8.66,8.97,7.67,7.98,593160.9840848391,0
DESO.V,D,20220614,000000,8,10.78,7.67,8.65,935664.449245618,0
DESO.V,D,20220615,000000,8.8,9.18,7.9,8.62,178084.28911270687,0
DESO.V,D,20220616,000000,8.52,8.57,7.5,7.88,4064.9713715696007,0
DESO.V,D,20220617,000000,7.82,8.1,7.6,8.03,422541.5438224047,0
DESO.V,D,20220618,000000,8.05,8.12,6.77,7.13,234596.37471981306,0
DESO.V,D,20220619,000000,7.1,8.34,6.91,7.78,6597.028398031803,0
DESO.V,D,20220620,000000,7.89,8.31,7.49,7.77,1787.1712322579995,0
DESO.V,D,20220621,000000,7.79,8.41,7.56,8.16,31757.700845569987,0
DESO.V,D,20220622,000000,8.06,8.29,7.55,7.8,23861.551059547033,0
DESO.V,D,20220623,000000,7.88,8.15,7.4,7.69,9839.264874462004,0
DESO.V,D,20220624,000000,7.76,9.42,7.25,8.23,195162.18810762113,0
DESO.V,D,20220625,000000,8.1,8.31,7.72,7.92,92077.51509583302,0
DESO.V,D,20220626,000000,7.95,8.38,7.69,7.93,66687.44657055206,0
DESO.V,D,20220627,000000,7.85,11.02,7.75,8.89,55053.20026012,0
DESO.V,D,20220628,000000,8.64,9.41,7.81,7.92,22409.93655149403,0
DESO.V,D,20220629,000000,8.04,8.28,7.81,8.01,11437.87624703702,0
DESO.V,D,20220630,000000,7.91,7.9705,7.09972,7.44,87144.66389625694,0
DESO.V,D,20220701,000000,7.5,8.44,7.44,8.04,33006.810459580025,0
DESO.V,D,20220702,000000,8.03,8.28,7.53,7.77,29893.449309522373,0
DESO.V,D,20220703,000000,7.74,7.89,7.54,7.8,5780.272100349994,0
DESO.V,D,20220704,000000,7.68,7.94,7.61,7.85,1715.003206713019,0
DESO.V,D,20220705,000000,7.86,8.34,7.59,7.89,6321.037593200306,0
DESO.V,D,20220706,000000,7.89,8.01,7.65,7.71,7252.221045403999,0
DESO.V,D,20220707,000000,7.66,8.11,7.62,8.03,3005.885553983,0
DESO.V,D,20220708,000000,7.98,8.06,7.76,7.94,1055.4968323620003,0
DESO.V,D,20220709,000000,8.06,8.81,7.66,8.19,11691.004506965002,0
DESO.V,D,20220710,000000,8.24,8.28,7.84,7.93,2362.1598711417014,0
DESO.V,D,20220711,000000,7.92,8.08,7.81,7.94,3591.1585250509997,0
DESO.V,D,20220712,000000,7.84,8.24,7.5,8.13,2962.7218094439995,0
DESO.V,D,20220713,000000,8.22,9.4,7.58,7.83,21331.09078773301,0
DESO.V,D,20220714,000000,7.81,8.22,7.7,7.99,5164.337952325988,0
DESO.V,D,20220715,000000,8.03,8.99,7.72,7.89,20516.76358999102,0
DESO.V,D,20220716,000000,7.89,8.29,7.81,8.09,12495.566778301956,0
DESO.V,D,20220717,000000,8.12,8.33,8,8.25,2660.1120795530014,0
DESO.V,D,20220718,000000,8.24,8.76,8.08,8.3,4667.080133886001,0
DESO.V,D,20220719,000000,8.25,9.52,8,8.57,7059.332277789998,0
DESO.V,D,20220720,000000,8.64,8.94,8.11,8.31,3898.2835197909994,0
DESO.V,D,20220721,000000,8.26,8.46,7.81,8.16,6175.812515436002,0
DESO.V,D,20220722,000000,8.06,8.41,7.94,8.03,4872.798291018699,0
DESO.V,D,20220723,000000,8.03,8.28,8.01,8.16,2673.5134053869992,0
DESO.V,D,20220724,000000,8.18,8.21,8.05,8.14,1548.9842706570005,0
DESO.V,D,20220725,000000,8.2,8.2,7.87,7.93,1505.9230294889999,0
DESO.V,D,20220726,000000,7.87,7.97,7.54,7.66,1914.3481930440005,0
DESO.V,D,20220727,000000,7.72,8.14,7.42,8.03,3460.5142922470714,0
DESO.V,D,20220728,000000,8.05,8.18,7.83,8.1,5454.92445843213,0
DESO.V,D,20220729,000000,8.1,8.44,7.95,8.08,6583.6779358520025,0
DESO.V,D,20220730,000000,8.02,8.33,7.85,7.99,8095.158133338998,0
DESO.V,D,20220731,000000,8.01,8.29,8.01,8.19,4062.695008596,0
DESO.V,D,20220801,000000,8.2,8.24,7.87,7.92,6076.856492966001,0
DESO.V,D,20220802,000000,7.88,8.05224,7.7,7.8,2038.3227548169996,0
DESO.V,D,20220803,000000,7.8,8.18,7.7,7.94,5570.5170374484915,0
DESO.V,D,20220804,000000,7.98,7.98,7.73,7.78,2423.5489983829993,0
DESO.V,D,20220805,000000,7.79,8.97,7.69,8.71,12483.648099733013,0
DESO.V,D,20220806,000000,8.8,8.8,7.78,7.95,16038.705107775013,0
DESO.V,D,20220807,000000,7.96,8.1,7.74,7.78,3544.3265631749955,0
DESO.V,D,20220808,000000,7.8,7.99,7.64,7.7,7028.506107600655,0
DESO.V,D,20220809,000000,7.7,8.21,7.56,7.57,6101.004922022056,0
DESO.V,D,20220810,000000,7.61,7.82,7.51,7.74,6366.90966776601,0
DESO.V,D,20220811,000000,7.75,8.28,7.72,8.15,10390.336638562496,0
DESO.V,D,20220812,000000,8.15,8.15,7.68,7.91,4794.200975750001,0
DESO.V,D,20220813,000000,7.98,8.06,7.72,7.76,12084.113200126125,0
DESO.V,D,20220814,000000,7.77,8,7.7,7.94,5444.0564508673115,0
DESO.V,D,20220815,000000,7.89,8.24,7.75,7.81,11249.506321470017,0
DESO.V,D,20220816,000000,7.81,7.87,7.53,7.58,7996.651740472994,0
DESO.V,D,20220817,000000,7.6,7.7,7.37,7.39,14822.125873165305,0
DESO.V,D,20220818,000000,7.4,7.42,7.11,7.18,11271.326079800021,0
DESO.V,D,20220819,000000,7.18,7.19,6.09,6.79,13599.65089021898,0
DESO.V,D,20220820,000000,6.75,8.4,6.2,6.37,145877.2197200999,0
DESO.V,D,20220821,000000,6.34,7.14,6.03,6.16,32638.154544044955,0
DESO.V,D,20220822,000000,6.19,6.7,5.78,6.07,24257.318134920002,0
DESO.V,D,20220823,000000,6.1,6.41,5.82,6.12,15687.093146129986,0
DESO.V,D,20220824,000000,6.12,6.3,6.02,6.06,15838.513850038697,0
DESO.V,D,20220825,000000,6.09,6.3,5.94,6.08,5320.603389372003,0
DESO.V,D,20220826,000000,6.06,6.19,5.44,5.78,12176.075529175996,0
DESO.V,D,20220827,000000,5.7,5.71,5.44,5.53,3371.8081696030004,0
DESO.V,D,20220828,000000,5.49,6.72,5.49,5.86,22650.20825403199,0
DESO.V,D,20220829,000000,5.81,6.16,5.64,5.9,13258.747650203999,0
DESO.V,D,20220830,000000,5.94,6.32,5.73,5.79,7802.337511795002,0
DESO.V,D,20220831,000000,5.79,5.92,5.45,5.67,6250.852747604,0
DESO.V,D,20220901,000000,5.65,5.73,5.3,5.6,5945.568781037003,0
DESO.V,D,20220902,000000,5.6,6.03,5.2,5.49,49458.10189432809,0
DESO.V,D,20220903,000000,5.5,5.64,5.43,5.54,7796.203883328995,0
DESO.V,D,20220904,000000,5.66,5.68,5.53,5.65,3315.9729545760993,0
DESO.V,D,20220905,000000,5.68,6.08,5.62,6,6925.879267380103,0
DESO.V,D,20220906,000000,6.03,6.4,5.52,5.65,15170.001574587019,0
DESO.V,D,20220907,000000,5.63,6.05,5.32,5.8,12312.569088308997,0
DESO.V,D,20220908,000000,5.78,5.96,5.42,5.53,7342.050910583999,0
DESO.V,D,20220909,000000,5.48,5.85,5.48,5.76,5185.658314599997,0
DESO.V,D,20220910,000000,5.75,5.85,5.61,5.74,7462.852497956003,0
DESO.V,D,20220911,000000,5.75,5.94,5.71,5.84,7383.583240065981,0
DESO.V,D,20220912,000000,5.83,6.24,5.83,6.12,8824.101264172994,0
DESO.V,D,20220913,000000,6.13,6.2,5.47,5.62,6727.469063602991,0
DESO.V,D,20220914,000000,5.61,5.81,5.4,5.78,6759.744078600004,0
DESO.V,D,20220915,000000,5.8,6,5.67,5.83,8146.4692199310075,0
DESO.V,D,20220916,000000,5.84,6.19,5.76,6.15,9096.668301535989,0
DESO.V,D,20220917,000000,6.14,6.96,5.99,6.73,19853.099109799972,0
DESO.V,D,20220918,000000,6.84,6.96,5.89,5.91,21338.636409414987,0
DESO.V,D,20220919,000000,5.94,6.33,5.73,6.29,11997.270373729994,0
DESO.V,D,20220920,000000,6.26,7.09,6.06,6.45,13611.766101060995,0
DESO.V,D,20220921,000000,6.48,6.79,5.78,6.33,16568.264006653015,0
DESO.V,D,20220922,000000,6.33,6.98,5.99,6.15,16597.270964164996,0
DESO.V,D,20220923,000000,6.19,6.61,6.1,6.59,5909.245589476994,0
DESO.V,D,20220924,000000,6.59,6.73,6.4,6.56,6602.1030662,0
DESO.V,D,20220925,000000,6.53,6.65,6.38,6.5,4428.114004799995,0
DESO.V,D,20220926,000000,6.5,6.93,6.47,6.84,7237.180641000001,0
DESO.V,D,20220927,000000,6.84,6.95,6.55,6.78,5074.645795911002,0
DESO.V,D,20220928,000000,6.75,6.83,6.44,6.76,2783.007099948009,0
DESO.V,D,20220929,000000,6.75,7.98,6.74,7.43,28361.844568000026,0
DESO.V,D,20220930,000000,7.36,10.87,7.26,10.34,56940.094675019085,0
DESO.V,D,20221001,000000,10.33,12.6,8.84,11.56,96322.73090500003,0
DESO.V,D,20221002,000000,11.51,15.85,10.74,14.18,87302.55697577797,0
DESO.V,D,20221003,000000,14.09,21.21,13.39,13.95,160278.7836532993,0
DESO.V,D,20221004,000000,13.93,16.39,12.2,14.43,68579.64026169296,0
DESO.V,D,20221005,000000,14.41,15.4,13.88,14.2,13176.18154938647,0
DESO.V,D,20221006,000000,14.2,18.93,13.51,17.98,60867.77763949529,0
DESO.V,D,20221007,000000,18,24.45,16.47,20.69,93341.99748799985,0
DESO.V,D,20221008,000000,20.74,22.71,18.47,19.79,49728.561779768,0
DESO.V,D,20221009,000000,19.78,23.07,18.82,20.67,20174.813433999996,0
DESO.V,D,20221010,000000,20.62,22.21,19.84,20.36,21583.79717799284,0
DESO.V,D,20221011,000000,20.23,20.51,15.65,18.75,33803.73303541414,0
DESO.V,D,20221012,000000,18.5,18.78,15.56,16.49,32194.732966599957,0
DESO.V,D,20221013,000000,16.6,16.73,13.35,15,33626.57982211001,0
DESO.V,D,20221014,000000,14.83,17.94,14.71,16.85,23647.6519046168,0
DESO.V,D,20221015,000000,16.76,17.61,16.5,16.96,10342.665483300007,0
DESO.V,D,20221016,000000,17.05,17.19,15.26,16.28,8754.698367710014,0
DESO.V,D,20221017,000000,16.13,16.44,15.43,15.69,10027.312835000008,0
DESO.V,D,20221018,000000,15.78,15.82,13.79,15.45,24562.959602091025,0
DESO.V,D,20221019,000000,15.46,18.28,15.31,17.61,35679.38918959993,0
