<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THETA.V,D,20180130,000000,0.2364,0.2364,0.2066,0.2157,0,0
THETA.V,D,20180131,000000,0.2143,0.2505,0.1979,0.218,0,0
THETA.V,D,20180201,000000,0.2184,0.2184,0.169,0.191,0,0
THETA.V,D,20180202,000000,0.191,0.191,0.1522,0.1724,0,0
THETA.V,D,20180203,000000,0.1729,0.2014,0.1729,0.1886,0,0
THETA.V,D,20180204,000000,0.1891,0.1891,0.1488,0.151,0,0
THETA.V,D,20180205,000000,0.151,0.151,0.1145,0.1181,0,0
THETA.V,D,20180206,000000,0.1183,0.138,0.1183,0.1368,0,0
THETA.V,D,20180207,000000,0.1362,0.1362,0.1197,0.1222,0,0
THETA.V,D,20180208,000000,0.1223,0.1413,0.1223,0.1295,0,0
THETA.V,D,20180209,000000,0.1303,0.1546,0.1303,0.1416,0,0
THETA.V,D,20180210,000000,0.1417,0.1446,0.1286,0.1305,0,0
THETA.V,D,20180211,000000,0.1308,0.1308,0.1094,0.1167,0,0
THETA.V,D,20180212,000000,0.1167,0.1296,0.1123,0.1173,0,0
THETA.V,D,20180213,000000,0.1167,0.1167,0.1106,0.1147,0,0
THETA.V,D,20180214,000000,0.1147,0.134,0.1147,0.1297,0,0
THETA.V,D,20180215,000000,0.13,0.169,0.124,0.1406,0,0
THETA.V,D,20180216,000000,0.1408,0.1466,0.1362,0.1409,0,0
THETA.V,D,20180217,000000,0.1408,0.1996,0.1408,0.1679,0,0
THETA.V,D,20180218,000000,0.1679,0.1819,0.1506,0.1674,0,0
THETA.V,D,20180219,000000,0.1672,0.1879,0.1672,0.1703,0,0
THETA.V,D,20180220,000000,0.1703,0.1724,0.1432,0.1457,0,0
THETA.V,D,20180221,000000,0.1443,0.1443,0.1253,0.1275,0,0
THETA.V,D,20180222,000000,0.1279,0.1347,0.1192,0.1304,0,0
THETA.V,D,20180223,000000,0.1296,0.1381,0.1296,0.1311,0,0
THETA.V,D,20180224,000000,0.1323,0.1323,0.1219,0.126,0,0
THETA.V,D,20180225,000000,0.126,0.1276,0.09245,0.1145,0,0
THETA.V,D,20180226,000000,0.1144,0.1355,0.1144,0.1263,0,0
THETA.V,D,20180227,000000,0.1253,0.149,0.1204,0.1389,0,0
THETA.V,D,20180228,000000,0.1385,0.1472,0.1278,0.1462,0,0
THETA.V,D,20180301,000000,0.1465,0.2164,0.1465,0.2137,0,0
THETA.V,D,20180302,000000,0.2137,0.2171,0.1726,0.1965,0,0
THETA.V,D,20180303,000000,0.1948,0.238,0.1857,0.2301,0,0
THETA.V,D,20180304,000000,0.2293,0.2449,0.2049,0.2143,0,0
THETA.V,D,20180305,000000,0.216,0.2239,0.2004,0.2126,0,0
THETA.V,D,20180306,000000,0.213,0.213,0.1786,0.2039,0,0
THETA.V,D,20180307,000000,0.2035,0.2035,0.1566,0.1694,0,0
THETA.V,D,20180308,000000,0.1693,0.1693,0.1307,0.1369,0,0
THETA.V,D,20180309,000000,0.137,0.1746,0.1228,0.1682,0,0
THETA.V,D,20180310,000000,0.1666,0.1803,0.1487,0.1637,0,0
THETA.V,D,20180311,000000,0.1634,0.1954,0.1634,0.1825,0,0
THETA.V,D,20180312,000000,0.1825,0.1825,0.1603,0.1669,0,0
THETA.V,D,20180313,000000,0.1669,0.1687,0.1568,0.1631,0,0
THETA.V,D,20180314,000000,0.1632,0.1632,0.1399,0.1472,0,0
THETA.V,D,20180315,000000,0.1468,0.1531,0.14,0.1465,0,0
THETA.V,D,20180316,000000,0.1467,0.1497,0.1429,0.1463,0,0
THETA.V,D,20180317,000000,0.1458,0.1458,0.1382,0.1422,0,0
THETA.V,D,20180318,000000,0.1422,0.1487,0.1315,0.1401,0,0
THETA.V,D,20180319,000000,0.1397,0.156,0.1397,0.1482,0,0
THETA.V,D,20180320,000000,0.1484,0.1646,0.1451,0.1552,0,0
THETA.V,D,20180321,000000,0.1547,0.1634,0.1491,0.1544,0,0
