<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USDD.V,D,20220514,000000,0.9983,1.011473,0.987022,0.999499,7604682.6674612,0
USDD.V,D,20220515,000000,0.999099,1.002495,0.989912,1.000598,19750544.416048,0
USDD.V,D,20220516,000000,1.000997,1.004395,0.995204,1.001396,3367507.142682,0
USDD.V,D,20220517,000000,1.001196,1.003694,0.996103,1.000498,7314478.7952174,0
USDD.V,D,20220518,000000,1.000498,1.002195,0.997202,1.000398,9693228.9429563,0
USDD.V,D,20220519,000000,1.000398,1.003295,0.994205,1.000498,10883129.254588,0
USDD.V,D,20220520,000000,1.000498,1.003197,0.998501,0.999799,6211962.2441021,0
USDD.V,D,20220521,000000,1.000098,1.002595,0.9987,0.999998,7658365.5511894,0
USDD.V,D,20220522,000000,0.999699,1.001097,0.9988,0.999499,7483915.80363,0
USDD.V,D,20220523,000000,0.999499,1.002896,0.999299,1.000398,7690474.1498928,0
USDD.V,D,20220524,000000,1.000198,1.002196,0.999,1.001396,6736004.9072246,0
USDD.V,D,20220525,000000,1.000997,1.003095,0.999099,1.000598,4406002.3068279,0
USDD.V,D,20220526,000000,1.000098,1.001397,0.9989,0.999799,3736767.8371568,0
USDD.V,D,20220527,000000,0.999599,1.000099,0.998501,0.9991,5185586.9000188,0
USDD.V,D,20220528,000000,0.99905,0.999649,0.994095,0.999469,3806840.7414023,0
USDD.V,D,20220529,000000,0.999409,1.000758,0.998061,0.999699,5067976.5739672,0
USDD.V,D,20220530,000000,0.999589,1.001947,0.997202,1,3645890.0097276,0
USDD.V,D,20220531,000000,1,1.0004,0.9973,1.0001,3252778.2368445,0
USDD.V,D,20220601,000000,1.0001,1.00101,0.99835,0.9994,7868151.8274851,0
USDD.V,D,20220602,000000,0.9995,1,0.998,0.9996,11640318.912955,0
USDD.V,D,20220603,000000,0.9996,1.00021,0.99867,0.99954,5037232.2688778,0
USDD.V,D,20220604,000000,0.99953,0.99975,0.99906,0.99974,6484882.3561542,0
USDD.V,D,20220605,000000,0.99975,1.00138,0.99766,1.00046,8775551.998511,0
USDD.V,D,20220606,000000,1.00066,1.00165,0.99807,0.99956,5877674.4037869,0
USDD.V,D,20220607,000000,0.99955,1.00021,0.99829,0.99969,8188718.5218178,0
USDD.V,D,20220608,000000,0.9996,1.00036,0.99883,0.99965,19235188.626714,0
USDD.V,D,20220609,000000,0.99965,1.000029,0.99937,0.999759,15440407.831384,0
USDD.V,D,20220610,000000,0.999759,1.001187,0.995743,0.999619,50087527.50205,0
USDD.V,D,20220611,000000,0.999629,1.186615,0.997052,1.000169,13829044.811846,0
USDD.V,D,20220612,000000,0.99926,1.000388,0.996153,0.99867,14246547.537897,0
USDD.V,D,20220613,000000,0.99867,0.99918,0.971511,0.989433,39786527.220774,0
USDD.V,D,20220614,000000,0.989433,0.989903,0.973847,0.976227,16638110.905391,0
USDD.V,D,20220615,000000,0.976237,0.979613,0.953776,0.972339,28919740.373284,0
USDD.V,D,20220616,000000,0.972439,0.981819,0.971236,0.971638,17036085.974008,0
USDD.V,D,20220617,000000,0.96957,0.98403,0.968752,0.976127,12282673.129572,0
USDD.V,D,20220618,000000,0.976027,0.980921,0.961458,0.962438,16728845.636401,0
USDD.V,D,20220619,000000,0.962529,0.964873,0.920509,0.95266,12361827.253527,0
USDD.V,D,20220620,000000,0.95256,0.966838,0.94507,0.961441,8294777.6830391,0
USDD.V,D,20220621,000000,0.961345,0.978217,0.961142,0.974127,5373034.9860712,0
USDD.V,D,20220622,000000,0.973927,0.977022,0.970431,0.976423,4810940.8255423,0
USDD.V,D,20220623,000000,0.976223,0.976622,0.972527,0.975224,3853053.2688456,0
USDD.V,D,20220624,000000,0.975024,0.979177,0.972424,0.974439,20257859.217434,0
USDD.V,D,20220625,000000,0.97414,0.980974,0.973126,0.977915,23627612.784335,0
USDD.V,D,20220626,000000,0.977815,0.984719,0.97472,0.980792,18547519.222096,0
USDD.V,D,20220627,000000,0.980901,0.989137,0.975924,0.984723,21589983.921833,0
USDD.V,D,20220628,000000,0.984733,0.991568,0.983743,0.989272,15728615.151084,0
USDD.V,D,20220629,000000,0.989372,0.992448,0.988073,0.9905,15380272.760127,0
USDD.V,D,20220630,000000,0.9905,0.993017,0.989112,0.989511,8609230.2512605,0
USDD.V,D,20220701,000000,0.989511,0.993007,0.988412,0.98971,9393069.6661611,0
USDD.V,D,20220702,000000,0.989311,0.992607,0.986615,0.988213,5757356.1697477,0
USDD.V,D,20220703,000000,0.988412,0.991808,0.987514,0.990211,4743459.7667714,0
USDD.V,D,20220704,000000,0.990211,0.992109,0.988714,0.99021,8955981.7368502,0
USDD.V,D,20220705,000000,0.99021,0.992507,0.989511,0.991608,8306544.4449837,0
USDD.V,D,20220706,000000,0.991508,0.995504,0.99051,0.992008,8451030.0178521,0
