<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZRX.V,D,20220421,000000,0.975398,1.013103,0.94819,0.953495,31475394.896344,0
ZRX.V,D,20220422,000000,0.952795,0.976695,0.85017,0.852985,62901607.330521,0
ZRX.V,D,20220423,000000,0.853671,0.919484,0.843969,0.861286,39800112.720406,0
ZRX.V,D,20220424,000000,0.860586,0.862472,0.80256,0.819464,19552589.881966,0
ZRX.V,D,20220425,000000,0.820164,0.821564,0.733547,0.772755,17161011.206268,0
ZRX.V,D,20220426,000000,0.772554,0.89918,0.746849,0.8105,81773132.107944,0
ZRX.V,D,20220427,000000,0.810581,0.9108,0.805381,0.860686,109269323.93368,0
ZRX.V,D,20220428,000000,0.861086,0.934493,0.814781,0.8195,42340931.237948,0
ZRX.V,D,20220429,000000,0.819582,0.8239,0.7424,0.743474,20653229.872229,0
ZRX.V,D,20220430,000000,0.743474,0.8339,0.737074,0.824682,41067740.366109,0
ZRX.V,D,20220501,000000,0.8227,0.827283,0.6832,0.7037,32825148.783197,0
ZRX.V,D,20220502,000000,0.70447,0.777878,0.6883,0.7212,28284977.283574,0
ZRX.V,D,20220503,000000,0.722,0.7501,0.675532,0.691631,22493450.857651,0
ZRX.V,D,20220504,000000,0.692431,0.7931,0.686031,0.7754,36441650.336839,0
ZRX.V,D,20220505,000000,0.7753,0.827734,0.686331,0.713257,33122718.527461,0
ZRX.V,D,20220506,000000,0.712957,0.738826,0.677365,0.69943,14505212.883678,0
ZRX.V,D,20220507,000000,0.69933,0.718556,0.676565,0.677065,13689499.156484,0
ZRX.V,D,20220508,000000,0.675065,0.677365,0.613455,0.636109,15275675.439033,0
ZRX.V,D,20220509,000000,0.635309,0.640208,0.496651,0.520296,15410943.9966,0
ZRX.V,D,20220510,000000,0.521496,0.569829,0.480008,0.482507,21569657.225252,0
ZRX.V,D,20220511,000000,0.482407,0.51924,0.353082,0.380487,27797919.17222,0
ZRX.V,D,20220512,000000,0.380686,0.411664,0.283238,0.329807,22553934.905774,0
ZRX.V,D,20220513,000000,0.329807,0.41113,0.320764,0.388799,11656660.783686,0
ZRX.V,D,20220514,000000,0.387801,0.417872,0.355053,0.416216,9014481.7902352,0
ZRX.V,D,20220515,000000,0.415318,0.439116,0.404932,0.433979,6961463.7756567,0
ZRX.V,D,20220516,000000,0.433879,0.449705,0.387618,0.404873,5739475.4067868,0
ZRX.V,D,20220517,000000,0.406171,0.426587,0.392789,0.426445,5913357.4221584,0
ZRX.V,D,20220518,000000,0.427543,0.430683,0.370218,0.376909,8540385.8742932,0
ZRX.V,D,20220519,000000,0.37807,0.396643,0.354709,0.382617,9378135.4740472,0
ZRX.V,D,20220520,000000,0.381956,0.481814,0.378022,0.450359,33781306.317899,0
ZRX.V,D,20220521,000000,0.450958,0.454354,0.418755,0.427144,17747860.058422,0
ZRX.V,D,20220522,000000,0.425746,0.470035,0.425546,0.440327,22094314.436314,0
ZRX.V,D,20220523,000000,0.44077,0.518781,0.430083,0.434878,31463177.073849,0
ZRX.V,D,20220524,000000,0.434778,0.437518,0.393567,0.423249,15443230.285913,0
ZRX.V,D,20220525,000000,0.423549,0.436775,0.404954,0.419196,9334309.5725553,0
ZRX.V,D,20220526,000000,0.419596,0.425132,0.366859,0.390609,8129719.6645171,0
ZRX.V,D,20220527,000000,0.39087,0.394805,0.358006,0.37013,12755472.497029,0
ZRX.V,D,20220528,000000,0.369475,0.388406,0.360952,0.379056,8829260.3235404,0
ZRX.V,D,20220529,000000,0.378149,0.390401,0.371025,0.386075,10667256.405027,0
ZRX.V,D,20220530,000000,0.387869,0.424003,0.384692,0.420863,6794891.0010901,0
ZRX.V,D,20220531,000000,0.421662,0.435851,0.406974,0.416966,8066680.8569084,0
ZRX.V,D,20220601,000000,0.416966,0.450539,0.389072,0.396843,17156481.171476,0
ZRX.V,D,20220602,000000,0.396243,0.409131,0.381157,0.408432,15424678.827394,0
ZRX.V,D,20220603,000000,0.408532,0.414527,0.383635,0.396059,6526381.4805837,0
