<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNO.V,D,20211230,000000,536.0072,572.6145,521.1042,548.9098,2485,0
GNO.V,D,20211231,000000,550.21,596.9194,526.6527,531.3531,3192.5518911327,0
GNO.V,D,20220101,000000,531.2531,543.4668,522.9,527.7055,1305.9955751105,0
GNO.V,D,20220102,000000,527.6528,529.3058,512.7513,515.003,1296.7508093234,0
GNO.V,D,20220103,000000,516.7033,521.9044,498,501.0501,595.51690362075,0
GNO.V,D,20220104,000000,501,536.1464,499.85,531,742.10686823334,0
GNO.V,D,20220105,000000,530.8938,531.6468,484.3,485.8514,1266.0926584075,0
GNO.V,D,20220106,000000,486.1,487.5952,466.9197,479.1521,1366.0622387303,0
GNO.V,D,20220107,000000,479.6918,481.5,445.3109,445.7554,1269.5688589723,0
GNO.V,D,20220108,000000,447.5552,513.3487,444.911,470.4,2974.315820045,0
GNO.V,D,20220109,000000,470,486,454.2,478.7,1242.8529253468,0
GNO.V,D,20220110,000000,480.252,480.8,387.5,403.6,2386.4704970075,0
GNO.V,D,20220111,000000,404.4,406.3,390.7391,400.7,565.99059851351,0
GNO.V,D,20220112,000000,401.8402,409.6638,392.1784,405.6027,863.68494712652,0
GNO.V,D,20220113,000000,405.8623,412.6062,389.7948,402.4011,684.36023246918,0
GNO.V,D,20220114,000000,402.761,404.0019,394.9579,399.0197,210.14249974587,0
GNO.V,D,20220115,000000,399.1197,404.8023,396.4189,403.2015,118.3291881232,0
GNO.V,D,20220116,000000,402.8013,404.7022,384.8539,389.2556,347.98346837059,0
GNO.V,D,20220117,000000,389.6558,390.7172,359.4078,363.0452,369.39896234639,0
GNO.V,D,20220118,000000,363.5454,364.9459,332.3997,339.4357,1203.9990364168,0
GNO.V,D,20220119,000000,338.6354,339.1356,320.128,330.4991,1380.7400511157,0
GNO.V,D,20220120,000000,329.0987,351.5703,327.0654,339.0678,2228.0273854298,0
GNO.V,D,20220121,000000,340.268,342.1684,275.155,280.256,709.14548094245,0
GNO.V,D,20220122,000000,279.956,288.5865,236.6473,240.048,3089.6736452909,0
GNO.V,D,20220123,000000,239.5718,266.3799,238.3477,260.052,2017.8524823813,0
GNO.V,D,20220124,000000,259.7779,274.955,222.6445,263.0789,1550.0136339178,0
GNO.V,D,20220125,000000,261.9524,275.1375,254.2763,263.9319,748.51154340314,0
GNO.V,D,20220126,000000,262.6575,293.0757,260.3301,268.6611,954.63940816712,0
GNO.V,D,20220127,000000,269.4616,291.9167,250.9254,257.0028,1738.4945138063,0
GNO.V,D,20220128,000000,256.9027,272.9819,251.9756,267.3802,784.93909725937,0
GNO.V,D,20220129,000000,268.1536,285.6857,267.4535,276.5553,682.40087911756,0
GNO.V,D,20220130,000000,275.7827,284.1852,271.4814,273.1092,272.64854526954,0
GNO.V,D,20220131,000000,275.6827,287.4436,267.8803,283.9419,527.97077596843,0
GNO.V,D,20220201,000000,283.9852,303.482,283.7702,296.0479,788.26788594972,0
GNO.V,D,20220202,000000,296.7483,301.881,281.9326,288.1856,527.02150058152,0
GNO.V,D,20220203,000000,288.4587,291.7218,276.7747,283.0147,603.67456057489,0
GNO.V,D,20220204,000000,283.0147,325.195,283.0147,320.5562,1352.1020085389,0
GNO.V,D,20220205,000000,320.3561,327.7966,315.4206,326.6285,1176.7113262672,0
GNO.V,D,20220206,000000,327.0961,328.1968,322.4611,323.0614,355.44687854466,0
GNO.V,D,20220207,000000,322.9291,345.7764,322.9291,341.9392,1487.5363450272,0
GNO.V,D,20220208,000000,341.9392,352.9469,332.8661,336.9029,507.37735732407,0
GNO.V,D,20220209,000000,336.2359,360.4961,333.2664,360.4961,740.4469560874,0
GNO.V,D,20220210,000000,360.2239,360.2599,348.4786,353.512,740.11096064678,0
GNO.V,D,20220211,000000,352.5114,355.2485,335.6006,336.601,636.77447249651,0
GNO.V,D,20220212,000000,335.4006,339.7376,328.7972,331.4988,842.35729652965,0
GNO.V,D,20220213,000000,330.9654,344.3065,330.5652,339.4035,918.69753739305,0
GNO.V,D,20220214,000000,340.2701,351.7109,333.1998,350.8104,3508.4441221192,0
GNO.V,D,20220215,000000,350.8104,389.3335,350.5752,380.228,2437.8101354731,0
GNO.V,D,20220216,000000,379.5655,393.2358,374.5872,378.627,1151.3942896192,0
GNO.V,D,20220217,000000,378.9894,380.6282,363.1177,364.7551,857.881885795,0
GNO.V,D,20220218,000000,364.8552,365.6192,342.9056,342.9056,888.78640673348,0
GNO.V,D,20220219,000000,343.4059,347.1081,338.4029,339.6697,585.0354930904,0
GNO.V,D,20220220,000000,339.2034,340.6042,319.9599,324.262,990.73771918293,0
GNO.V,D,20220221,000000,324.3621,335.0674,318.2591,323.1615,1160.4756775207,0
GNO.V,D,20220222,000000,321.6608,322.529,308.1232,320.5922,964.06420824691,0
GNO.V,D,20220223,000000,321.5928,332.7996,320.3601,326.896,864.03199114342,0
GNO.V,D,20220224,000000,325.5952,326.4958,280.0399,316.7266,2384.8469511555,0
GNO.V,D,20220225,000000,317.9954,338.1352,317.1951,336.9684,1135.223487415,0
GNO.V,D,20220226,000000,339.5697,346.1384,337.1685,341.7708,1139.8586422055,0
GNO.V,D,20220227,000000,341.1705,343.0714,316.5582,320.6282,1278.4572055671,0
GNO.V,D,20220228,000000,319.7278,352.5762,311.2244,349.6747,2047.6899870761,0
GNO.V,D,20220301,000000,349.1396,361.8447,346.6732,354.2062,1156.7529264289,0
GNO.V,D,20220302,000000,354.6063,362.1086,351.1702,356.5713,1158.0219608896,0
GNO.V,D,20220303,000000,356.0068,356.807,330.5992,336.9674,1096.9194772923,0
GNO.V,D,20220304,000000,337.0011,342.8028,310.062,310.193,1726.553492318,0
GNO.V,D,20220305,000000,310.5621,314.9945,306.2612,313.594,1481.3627438048,0
GNO.V,D,20220306,000000,314.8666,316.4761,307.8923,310.7691,334.73854690892,0
GNO.V,D,20220307,000000,308.7926,308.8926,290.4581,292.5877,1159.6070245816,0
GNO.V,D,20220308,000000,292.3585,302.2604,289.5579,297.0594,1324.4500171097,0
GNO.V,D,20220309,000000,297.1594,319.4639,296.7297,312.3625,850.00959516311,0
GNO.V,D,20220310,000000,311.9624,314.0628,292.0876,299.0196,1488.0462377246,0
GNO.V,D,20220311,000000,300.4201,304.5218,288.7154,296.2592,1588.2819249492,0
GNO.V,D,20220312,000000,297.5609,298.9394,293.6377,295.5194,734.22796725784,0
GNO.V,D,20220313,000000,297.4251,302.2317,290.888,291.0874,888.12219497306,0
GNO.V,D,20220314,000000,281.9564,302.4128,281.9282,296.57,1495.4272564575,0
GNO.V,D,20220315,000000,295.5331,298.5848,280.328,286.1858,959.12947433351,0
GNO.V,D,20220316,000000,286.786,315.6947,283.385,301.1903,2606.2504365659,0
GNO.V,D,20220317,000000,299.3898,307.5922,299.0598,305.5527,680.25962710658,0
GNO.V,D,20220318,000000,307.3102,323.5968,303.9215,320.6602,724.68740319107,0
GNO.V,D,20220319,000000,321.2247,325.7628,320.0239,321.3606,445.3706868658,0
GNO.V,D,20220320,000000,322.2288,323.0614,311.0244,311.5246,1378.0311499071,0
GNO.V,D,20220321,000000,312.4249,325.13,308.9235,317.9271,998.34327547119,0
GNO.V,D,20220322,000000,319.0594,331.1655,316.4581,329.8319,814.6332879446,0
GNO.V,D,20220323,000000,329.4317,329.4317,322.3289,326.4305,692.31594280799,0
GNO.V,D,20220324,000000,326.4631,339.0694,326.3305,338.8693,1015.2779285237,0
GNO.V,D,20220325,000000,338.0689,346.9734,336.5682,337.3349,846.08763060199,0
GNO.V,D,20220326,000000,337.4686,347.0388,333.9335,338.8693,683.10897401028,0
GNO.V,D,20220327,000000,338.8693,386.7546,338.1352,382.0528,1520.306663996,0
GNO.V,D,20220328,000000,395.4581,570.4281,383.615,468.7874,31713.240742531,0
GNO.V,D,20220329,000000,468.9343,557.9231,455.8367,477.4386,13823.848978954,0
GNO.V,D,20220330,000000,477.4386,482.0409,460.184,470.8412,2708.855263396,0
GNO.V,D,20220331,000000,470.8412,472.0416,423.3847,423.3847,2746.5196068011,0
GNO.V,D,20220401,000000,424.1272,436.1744,412.9651,433.8301,1682.658822844,0
GNO.V,D,20220402,000000,434.887,442.577,424.5698,425.17,1403.9629672563,0
GNO.V,D,20220403,000000,425.27,432.1728,421.9265,430.172,741.44224020905,0
GNO.V,D,20220404,000000,431.5726,439.4757,417.6252,422.8268,924.12328191629,0
GNO.V,D,20220405,000000,423.5847,430.8292,420.7421,423.8848,708.97821102679,0
GNO.V,D,20220406,000000,423.2846,423.9848,392.9,395.1,891.87089383595,0
GNO.V,D,20220407,000000,394.4,395.5396,390.339,391.5392,692.29970216191,0
GNO.V,D,20220408,000000,391.1391,409.3228,391.0391,396.7586,1245.9096667571,0
GNO.V,D,20220409,000000,396.2584,396.7586,389.0556,393.3787,525.11708931854,0
GNO.V,D,20220410,000000,395.2185,400.7202,390.4781,398.8196,815.68285427311,0
GNO.V,D,20220411,000000,399.2798,400.4801,330.3991,330.5992,2119.0346294334,0
GNO.V,D,20220412,000000,330.3661,353.8708,329.6989,343.0029,1223.9402797442,0
GNO.V,D,20220413,000000,342.1026,355.3421,342.0684,353.7061,1139.7349171445,0
GNO.V,D,20220414,000000,353.6707,358.6076,339.1678,341.3683,1174.8010102521,0
GNO.V,D,20220415,000000,340.6681,354.871,340.6341,349.0698,1321.6600406026,0
GNO.V,D,20220416,000000,349.2698,355.5356,344.6345,346.4693,920.54820023878,0
GNO.V,D,20220417,000000,346.7693,354.2708,344.6345,351.4351,964.90463232343,0
GNO.V,D,20220418,000000,351.8704,353.1706,329.866,347.8043,1896.7553849772,0
GNO.V,D,20220419,000000,347.8043,359.3719,347.2694,353.7707,1373.9535007302,0
GNO.V,D,20220420,000000,353.1706,356.0712,340.5681,345.069,1533.2560911202,0
GNO.V,D,20220421,000000,345.069,358.3717,343.8344,343.8688,1104.0299473423,0
GNO.V,D,20220422,000000,343.7344,344.2688,330.133,334.5335,1170.0927430106,0
GNO.V,D,20220423,000000,333.4333,334.0668,330.166,331.0331,447.02345236944,0
GNO.V,D,20220424,000000,331.0662,331.7697,324.5649,327.0654,565.15875182241,0
GNO.V,D,20220425,000000,327.0654,333.3667,315.3631,332.2664,1101.5017477275,0
GNO.V,D,20220426,000000,329.7659,335.5671,316.5,317.1317,868.26791644951,0
GNO.V,D,20220427,000000,317.2317,322.1,315.9,319.632,652.33645959019,0
GNO.V,D,20220428,000000,319.932,335.8,318.9319,328.8329,1158.2794570449,0
GNO.V,D,20220429,000000,328.5328,334.8335,316.1316,316.9317,895.89799790162,0
GNO.V,D,20220430,000000,316.2316,316.7317,309.4309,313.1313,619.84869160795,0
GNO.V,D,20220501,000000,313.1,313.5313,306.6307,310.8,977.24751689829,0
GNO.V,D,20220502,000000,309.631,321.0321,309.631,316,1106.0106519002,0
GNO.V,D,20220503,000000,316,318.6319,309.0691,309.669,579.01481693684,0
GNO.V,D,20220504,000000,309.669,320.6679,305.2389,318.5,833.03431817105,0
GNO.V,D,20220505,000000,318.4044,320.6038,298.9402,301.7396,969.14004706628,0
GNO.V,D,20220506,000000,301.3699,301.5698,289.571,293.5706,1852.3600368132,0
GNO.V,D,20220507,000000,293.4706,297.5702,286.1428,286.1428,1068.9163522989,0
GNO.V,D,20220508,000000,286.5427,291.3709,271.7912,278.9163,1573.9591854146,0
GNO.V,D,20220509,000000,278.9163,283.8432,242.2515,245.2509,2527.5272968715,0
GNO.V,D,20220510,000000,244.751,266.6467,238.6045,247.8008,1696.7161969154,0
GNO.V,D,20220511,000000,250.025,266.8131,228.605,235.25,2791.3462993334,0
GNO.V,D,20220512,000000,235.7009,242.1276,200.2387,213.2227,2907.1048069455,0
GNO.V,D,20220513,000000,212.5817,243.4898,211.0287,230.5075,1747.4453444542,0
GNO.V,D,20220514,000000,230.0851,230.208,215.5896,224.9621,1127.6433009854,0
GNO.V,D,20220515,000000,224.4853,238.3137,219.7699,236.7156,996.35607144194,0
GNO.V,D,20220516,000000,237.7144,239.8119,219.3705,224.308,886.21323940212,0
GNO.V,D,20220517,000000,224.1083,235.2174,221.3119,229.3015,924.1815040853,0
GNO.V,D,20220518,000000,229.9007,233.2198,211.2039,211.6245,908.37778338226,0
GNO.V,D,20220519,000000,211.6033,218.6031,203.0171,215.4843,1134.4125337015,0
GNO.V,D,20220520,000000,215.9838,219.1587,202.797,208.8491,1140.7005429622,0
GNO.V,D,20220521,000000,208.05,214.0214,206.6103,209.1278,814.82987517232,0
GNO.V,D,20220522,000000,209.1068,217.2173,207.8087,213.2438,856.64155413869,0
GNO.V,D,20220523,000000,214.2211,228.0717,211.0464,212.8443,1128.8675331879,0
GNO.V,D,20220524,000000,212.8443,212.8443,203.6757,210.1054,827.58235450629,0
GNO.V,D,20220525,000000,211.513,216.0171,205.274,206.0524,1051.7940034935,0
GNO.V,D,20220526,000000,206.452,207.2717,187.993,194.8854,2193.7595917,0
GNO.V,D,20220527,000000,196.803,196.803,182.2176,186.3135,2882.7500128066,0
GNO.V,D,20220528,000000,186.7465,191.7723,182.3106,190.0214,1952.8497498518,0
GNO.V,D,20220529,000000,189.0607,193.4868,186.8543,192.9791,1598.0573996578,0
GNO.V,D,20220530,000000,192.9887,209.7093,191.4825,209.1067,2096.5977355328,0
GNO.V,D,20220531,000000,208.2236,212.7011,203.8841,206.4747,3108.1053329099,0
GNO.V,D,20220601,000000,206.0936,207.9098,188.762,190.7872,3451.6879765238,0
GNO.V,D,20220602,000000,191.693,195.93,189.302,193.7207,3450.7401944599,0
GNO.V,D,20220603,000000,193.7207,196.3317,185.2665,189.4102,3657.6038210323,0
GNO.V,D,20220604,000000,189.4083,190.6152,185.7048,188.057,7461.3841186856,0
GNO.V,D,20220605,000000,188.0607,194.9322,186.3396,192.7187,6965.848145373,0
GNO.V,D,20220606,000000,193.1164,201.8323,190.8243,197.1343,20744.06955676,0
GNO.V,D,20220607,000000,197.0324,197.436,182.8518,193.7391,19156.402411764,0
GNO.V,D,20220608,000000,193.9525,194.454,186.1808,189.4768,7926.9241096372,0
GNO.V,D,20220609,000000,188.935,190.3537,187.1645,188.8055,8879.0632002189,0
GNO.V,D,20220610,000000,188.9576,189.0869,177.4867,177.8552,6772.844434868,0
GNO.V,D,20220611,000000,178.0425,178.2552,160.7236,162.1746,3378.5425368493,0
GNO.V,D,20220612,000000,162.1924,163.8492,149.935,155.0735,3921.8432082817,0
GNO.V,D,20220613,000000,155.0622,155.0867,125.9934,129.2773,52348.142557247,0
GNO.V,D,20220614,000000,127.9219,131.9296,118.1237,123.3518,41605.493408763,0
GNO.V,D,20220615,000000,124.6515,128.6506,109.304,127.7706,33932.842364927,0
GNO.V,D,20220616,000000,127.8689,128.0641,113.66,116.0817,7105.3487774187,0
GNO.V,D,20220617,000000,112.4135,119.3598,109.5605,113.6043,46358.530793632,0
GNO.V,D,20220618,000000,113.6012,114.9382,95.4259,100.2487,44528.489056604,0
GNO.V,D,20220619,000000,100.225,139.3087,98.472,119.8173,24598.555481423,0
GNO.V,D,20220620,000000,119.8174,136.2042,112.4931,114.9443,13882.307589215,0
GNO.V,D,20220621,000000,114.89,122.8713,113.7299,117.0761,4751.4291686811,0
GNO.V,D,20220622,000000,117.0723,118.5842,108.6719,110.2467,5178.9437652884,0
GNO.V,D,20220623,000000,110.2283,142.3865,108.3022,115.3174,11810.548464637,0
GNO.V,D,20220624,000000,115.3411,135.9757,114.2521,127.2988,26489.38755289,0
GNO.V,D,20220625,000000,127.2571,128.1269,121.3243,127.6963,6620.035211061,0
GNO.V,D,20220626,000000,127.5204,129.7564,124.1416,126.1794,5560.7784564821,0
GNO.V,D,20220627,000000,126.2579,136.6151,119.6382,122.2906,3395.8743656953,0
GNO.V,D,20220628,000000,122.3301,127.8601,118.5433,119.5907,3664.7688379239,0
GNO.V,D,20220629,000000,119.5915,123.6483,113.9814,115.3878,5433.0293173039,0
GNO.V,D,20220630,000000,115.3848,116.0254,104.7182,105.8646,7704.7917393689,0
GNO.V,D,20220701,000000,105.8278,115.821,105.3785,109.5396,9387.9471647822,0
GNO.V,D,20220702,000000,109.5612,110.3195,106.1153,110.1198,5859.9097851211,0
GNO.V,D,20220703,000000,110.1198,111.8108,106.92,110.7093,12803.030347861,0
GNO.V,D,20220704,000000,110.8657,115.7609,106.8434,115.4409,3055.0128727469,0
GNO.V,D,20220705,000000,115.4628,119.0608,111.3873,117.5473,2505.339090618,0
GNO.V,D,20220706,000000,117.7915,118.4863,113.8857,117.5694,3085.9724010521,0
GNO.V,D,20220707,000000,117.5475,124.5626,117.4066,124.3652,2322.9687764684,0
GNO.V,D,20220708,000000,124.3913,127.3943,120.323,123.6221,2010.7761084865,0
GNO.V,D,20220709,000000,123.6845,139.3233,121.327,122.4295,3805.0806044155,0
GNO.V,D,20220710,000000,122.3649,124.3981,116.1569,117.9168,2192.9337027307,0
GNO.V,D,20220711,000000,117.5924,133.8928,112.1204,112.2481,4497.1773646117,0
GNO.V,D,20220712,000000,112.8007,117.2197,104.7505,107.1855,3778.6686779657,0
GNO.V,D,20220713,000000,107.1442,109.4299,101.9198,108.8832,1807.9022495666,0
GNO.V,D,20220714,000000,108.8835,120.3308,107.9763,118.1826,1854.4597589555,0
GNO.V,D,20220715,000000,118.1695,133.9311,117.8789,124.8706,8538.3104717341,0
GNO.V,D,20220716,000000,124.7778,138.7223,118.8411,133.1827,2449.1739381589,0
GNO.V,D,20220717,000000,133.1952,138.6614,128.4023,133.7521,2217.3449572626,0
GNO.V,D,20220718,000000,133.7534,151.322,132.56,146.4872,4645.4389579157,0
GNO.V,D,20220719,000000,146.4737,160.5546,146.1294,157.8454,11241.018808846,0
GNO.V,D,20220720,000000,156.9444,163.449,147.8192,153.1762,4408.6095336955,0
GNO.V,D,20220721,000000,153.211,165.485,144.0323,153.9864,4097.5634763618,0
GNO.V,D,20220722,000000,153.9744,157.5086,147.0443,148.4325,3719.159636265,0
GNO.V,D,20220723,000000,148.4324,153.3992,146.2924,146.9212,2823.2379819528,0
GNO.V,D,20220724,000000,146.9384,156.0212,146.8984,156.0212,2629.8271428353,0
GNO.V,D,20220725,000000,156.1,157.8424,143.273,146.5186,3415.4416160072,0
GNO.V,D,20220726,000000,146.3858,147.5007,133.225,134.8293,4381.5937329692,0
GNO.V,D,20220727,000000,134.7922,154.3158,133.5201,153.4257,5255.103279171,0
GNO.V,D,20220728,000000,153.4266,168.4835,152.7795,165.852,2941.7622131432,0
GNO.V,D,20220729,000000,166.1075,166.1504,158.542,163.9679,1487.7825156503,0
GNO.V,D,20220730,000000,163.9683,167.5557,161.3992,162.6156,1353.7390611354,0
GNO.V,D,20220731,000000,162.616,165.8988,161.5879,163.8612,1217.6804840918,0
GNO.V,D,20220801,000000,163.8612,165.6204,155.3947,156.5665,1457.9496592494,0
GNO.V,D,20220802,000000,156.5685,160.7548,150.838,158.4971,2055.9799461572,0
GNO.V,D,20220803,000000,158.4795,161.7911,154.9442,158.7224,1218.703134239,0
GNO.V,D,20220804,000000,158.7022,160.811,152.0935,154.9844,2112.8865729982,0
GNO.V,D,20220805,000000,154.9622,163.6981,154.1826,162.8021,1923.5374785825,0
GNO.V,D,20220806,000000,162.7852,165.9245,162.5588,164.8879,1536.6401431466,0
GNO.V,D,20220807,000000,164.8879,165.3725,160.8311,164.4588,1585.5975998214,0
GNO.V,D,20220808,000000,164.4588,171.6678,163.1604,169.1268,1882.3607532326,0
GNO.V,D,20220809,000000,169.1265,170.261,160.5108,163.1794,2038.0883600687,0
GNO.V,D,20220810,000000,163.1795,183.3062,160.1677,178.7137,3088.7457477322,0
GNO.V,D,20220811,000000,178.7138,187.4155,178.6027,182.1532,2037.5838950849,0
GNO.V,D,20220812,000000,182.1532,185.9686,179.5647,184.3199,904.31222330843,0
GNO.V,D,20220813,000000,184.3021,193.4208,183.9357,191.2001,1259.1572470367,0
GNO.V,D,20220814,000000,191.1784,192.8211,183.3666,185.8941,1588.5533348158,0
GNO.V,D,20220815,000000,185.8969,190.1796,180.4576,180.8913,1225.2505542462,0
