<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IOTX.V,D,20180601,000000,0.06811,0.06867,0.06381,0.06549,0,0
IOTX.V,D,20180602,000000,0.06549,0.06726,0.05748,0.05889,0,0
IOTX.V,D,20180603,000000,0.05889,0.0624,0.05257,0.05291,0,0
IOTX.V,D,20180604,000000,0.05291,0.05291,0.04441,0.04849,0,0
IOTX.V,D,20180605,000000,0.04849,0.0515,0.04638,0.04911,0,0
IOTX.V,D,20180606,000000,0.04911,0.04947,0.04382,0.04704,0,0
IOTX.V,D,20180607,000000,0.04703,0.0479,0.04486,0.0451,0,0
IOTX.V,D,20180608,000000,0.0451,0.04553,0.04221,0.04242,0,0
IOTX.V,D,20180609,000000,0.04242,0.04242,0.03874,0.03971,0,0
IOTX.V,D,20180610,000000,0.03971,0.03971,0.03265,0.0331,0,0
IOTX.V,D,20180611,000000,0.03308,0.04049,0.03308,0.03914,0,0
IOTX.V,D,20180612,000000,0.03914,0.04258,0.03335,0.0394,0,0
IOTX.V,D,20180613,000000,0.0394,0.0394,0.03493,0.03537,0,0
IOTX.V,D,20180614,000000,0.03537,0.04042,0.03537,0.03673,0,0
IOTX.V,D,20180615,000000,0.03673,0.03673,0.03278,0.03299,0,0
IOTX.V,D,20180616,000000,0.03299,0.03439,0.03299,0.03367,0,0
IOTX.V,D,20180617,000000,0.03367,0.03586,0.03313,0.0343,0,0
IOTX.V,D,20180618,000000,0.03431,0.04946,0.03431,0.04542,0,0
IOTX.V,D,20180619,000000,0.04541,0.05188,0.04302,0.04329,0,0
IOTX.V,D,20180620,000000,0.04329,0.04421,0.03561,0.03656,0,0
IOTX.V,D,20180621,000000,0.03656,0.03656,0.03409,0.03529,0,0
IOTX.V,D,20180622,000000,0.03527,0.03527,0.02917,0.02945,0,0
IOTX.V,D,20180623,000000,0.02945,0.03085,0.02827,0.02878,0,0
IOTX.V,D,20180624,000000,0.02878,0.02878,0.02463,0.02616,0,0
IOTX.V,D,20180625,000000,0.02616,0.02975,0.0256,0.0281,0,0
IOTX.V,D,20180626,000000,0.0281,0.0281,0.02565,0.02573,0,0
IOTX.V,D,20180627,000000,0.02575,0.02722,0.02523,0.02586,0,0
IOTX.V,D,20180628,000000,0.02575,0.02581,0.02393,0.02421,0,0
IOTX.V,D,20180629,000000,0.02416,0.02606,0.02416,0.02562,0,0
IOTX.V,D,20180630,000000,0.02545,0.02842,0.02512,0.02687,0,0
IOTX.V,D,20180701,000000,0.02687,0.02733,0.02541,0.02641,0,0
