<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PYR.V,D,20220514,000000,4.28271,4.30224,4.28271,4.30224,190.59467497709,0
PYR.V,D,20220515,000000,4.6335,5.22372,4.48327,5.12384,652486.0539885772,0
PYR.V,D,20220516,000000,5.12384,5.35303,4.51412,5.11283,659383.4838182313,0
PYR.V,D,20220517,000000,5.16328,5.56276,4.93358,5.37354,492995.64691306074,0
PYR.V,D,20220518,000000,5.37354,5.51338,4.42424,4.65394,505677.4321412529,0
PYR.V,D,20220519,000000,4.65394,4.98501,4.22577,4.80567,421734.94480903645,0
PYR.V,D,20220520,000000,4.81566,4.93457,4.3044,4.39472,295925.71227836906,0
PYR.V,D,20220521,000000,4.39428,4.87366,4.26445,4.60401,350682.00397936674,0
PYR.V,D,20220522,000000,4.62398,4.92408,4.44377,4.73431,351036.69447364507,0
PYR.V,D,20220523,000000,4.73384,5.31468,4.73384,4.9141,565659.8757497707,0
PYR.V,D,20220524,000000,4.89412,4.89412,4.39472,4.81373,385527.8683967878,0
PYR.V,D,20220525,000000,4.80375,5.03395,4.5745,4.67485,369725.7050169295,0
PYR.V,D,20220526,000000,4.68484,4.7248,4.09508,4.20537,424876.0391717278,0
PYR.V,D,20220527,000000,4.20579,4.25574,3.70629,3.84577,415554.36359073466,0
PYR.V,D,20220528,000000,3.81561,4.07588,3.72537,4.02528,316999.91234218434,0
PYR.V,D,20220529,000000,4.03246,4.19282,3.88635,4.08551,266195.04167045915,0
PYR.V,D,20220530,000000,4.13574,4.66594,4.07563,4.55681,450252.62167568336,0
PYR.V,D,20220531,000000,4.57634,4.78617,4.39692,4.55635,335526.7331710369,0
PYR.V,D,20220601,000000,4.54636,4.58656,3.87612,3.97642,243449.14955596422,0
PYR.V,D,20220602,000000,3.96643,4.16625,3.95604,4.11629,119065.77585577374,0
PYR.V,D,20220603,000000,4.12628,4.19681,3.81641,3.98657,176625.15787810698,0
PYR.V,D,20220604,000000,3.96655,4.09651,3.88592,4.03693,966986.6709402668,0
PYR.V,D,20220605,000000,4.02702,4.1364,3.98661,4.07616,753807.3629819918,0
PYR.V,D,20220606,000000,4.07616,4.55617,4.06621,4.41629,1993504.679427664,0
PYR.V,D,20220607,000000,4.40625,4.41629,3.99664,4.23652,1512816.5372766738,0
PYR.V,D,20220608,000000,4.2568,4.55699,4.11707,4.53705,1679801.5376647874,0
PYR.V,D,20220609,000000,4.54704,4.73588,4.39604,4.44626,1408778.6699019924,0
PYR.V,D,20220610,000000,4.44622,4.46611,4.03556,4.13474,1591288.5718766153,0
PYR.V,D,20220611,000000,4.12475,4.15555,3.64544,3.87562,559761.0916100907,0
PYR.V,D,20220612,000000,3.87558,3.9256,3.38522,3.62554,535301.155969492,0
PYR.V,D,20220613,000000,3.59557,3.59561,3.09535,3.42523,3000375.149583026,0
PYR.V,D,20220614,000000,3.44517,3.75545,3.27515,3.33599,5370770.536116234,0
PYR.V,D,20220615,000000,3.31602,3.56607,3.1459,3.55466,2748807.04433564,0
PYR.V,D,20220616,000000,3.55466,3.58533,3.19648,3.28572,1000654.5359152973,0
PYR.V,D,20220617,000000,3.19375,3.33343,3.14699,3.25759,1300010.1695612278,0
PYR.V,D,20220618,000000,3.28608,3.29607,2.86592,3.05501,3589440.6012706673,0
PYR.V,D,20220619,000000,3.03508,3.30603,2.92584,3.2258,1030596.5442382497,0
PYR.V,D,20220620,000000,3.23579,3.40625,3.1459,3.18649,645621.790330685,0
PYR.V,D,20220621,000000,3.18617,3.51648,3.15621,3.2664,767426.5128658307,0
PYR.V,D,20220622,000000,3.2664,3.27672,3.05663,3.10689,464378.78642245434,0
PYR.V,D,20220623,000000,3.10689,3.33666,3.0969,3.28671,229155.63325183096,0
PYR.V,D,20220624,000000,3.2967,3.7171,3.27672,3.64715,1493337.613340821,0
PYR.V,D,20220625,000000,3.64715,3.68631,3.34769,3.55751,862233.0665228083,0
