<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
METIS.V,D,20220514,000000,25.88193,26.00172,25.58387,25.77752,580.4331919,0
METIS.V,D,20220515,000000,26.15433,30.9628,25.13077,30.41945,23759.304200406,0
METIS.V,D,20220516,000000,30.91286,32.91875,26.40798,30.04189,40539.193124475,0
METIS.V,D,20220517,000000,29.98297,30.96969,28.52701,29.58249,26157.693370559,0
METIS.V,D,20220518,000000,29.57746,30.56528,24.50211,26.17393,30249.486777386,0
METIS.V,D,20220519,000000,26.11201,28.4675,24.33764,26.97899,22559.440708412,0
METIS.V,D,20220520,000000,26.91406,28.04531,25.43689,26.43724,22783.966524967,0
METIS.V,D,20220521,000000,26.43724,26.76816,25.51168,26.17131,16572.828643492,0
METIS.V,D,20220522,000000,26.20589,28.00355,25.86892,26.49816,9699.6473895176,0
METIS.V,D,20220523,000000,26.61802,29.84013,26.61536,27.40707,42030.716390751,0
METIS.V,D,20220524,000000,27.38435,27.38435,24.45307,26.05347,13553.410372588,0
METIS.V,D,20220525,000000,26.05608,26.89499,25.21224,25.78161,4834.8245355316,0
METIS.V,D,20220526,000000,25.54687,25.6947,22.22553,23.33664,12724.728315191,0
METIS.V,D,20220527,000000,23.24174,23.47415,18.8811,19.68133,15633.63058255,0
METIS.V,D,20220528,000000,19.69053,20.27662,18.33473,18.77857,13707.534082926,0
METIS.V,D,20220529,000000,18.63779,21.50761,18.42087,21.10176,13001.805527523,0
METIS.V,D,20220530,000000,21.17774,23.56349,21.17774,23.56114,16194.478060791,0
METIS.V,D,20220531,000000,23.62345,24.11969,22.07832,22.24519,34525.611385918,0
METIS.V,D,20220601,000000,22.19068,22.64269,19.80316,20.34064,52032.11507817,0
METIS.V,D,20220602,000000,20.25975,20.95912,19.71324,20.74132,29137.772325475,0
METIS.V,D,20220603,000000,20.7623,21.28981,19.74023,20.78811,54512.319611328,0
METIS.V,D,20220604,000000,20.96574,21.63211,20.3734,21.54983,21130.34825868,0
METIS.V,D,20220605,000000,21.45168,24.64755,21.41271,24.21794,18347.111333269,0
METIS.V,D,20220606,000000,24.17725,26.99703,23.37824,24.9188,33434.661053988,0
METIS.V,D,20220607,000000,24.90881,24.97875,21.65223,23.31064,26525.303429712,0
METIS.V,D,20220608,000000,23.14147,24.55231,22.36044,22.92509,56226.269280925,0
METIS.V,D,20220609,000000,22.97529,23.7291,22.49222,22.86078,41986.339493669,0
METIS.V,D,20220610,000000,22.84057,23.28136,20.4689,21.11252,109179.08380368,0
METIS.V,D,20220611,000000,21.05302,21.12547,18.01889,18.47891,55092.261398633,0
METIS.V,D,20220612,000000,18.47891,19.06805,16.62652,17.60832,73317.634119698,0
METIS.V,D,20220613,000000,17.44851,17.74601,14.7463,16.77665,101192.21654743,0
METIS.V,D,20220614,000000,16.60688,18.09399,14.58882,16.58308,136974.45945956,0
METIS.V,D,20220615,000000,16.57076,18.37424,15.02291,18.3065,132286.2996052,0
METIS.V,D,20220616,000000,18.51034,18.67943,16.40194,16.71656,96036.930893732,0
METIS.V,D,20220617,000000,16.12771,16.91645,15.99757,16.77002,198440.78693591,0
METIS.V,D,20220618,000000,16.53031,16.77002,14.14475,14.9757,343610.92181772,0
METIS.V,D,20220619,000000,14.92778,16.7289,14.67584,16.24149,111480.34663502,0
METIS.V,D,20220620,000000,16.31676,16.9796,15.7455,16.60272,22789.885334743,0
METIS.V,D,20220621,000000,16.57808,18.77797,16.44289,17.60138,49693.686227789,0
METIS.V,D,20220622,000000,17.63658,17.99199,16.77021,16.84314,48084.684159537,0
METIS.V,D,20220623,000000,16.76254,18.4835,16.72026,18.1828,30215.450395013,0
METIS.V,D,20220624,000000,18.21577,20.92787,18.17581,20.86513,56596.635967059,0
METIS.V,D,20220625,000000,20.96901,21.71479,19.06741,20.25581,41161.068572634,0
METIS.V,D,20220626,000000,20.16328,21.04568,19.55826,20.42753,31303.551130183,0
METIS.V,D,20220627,000000,20.37777,24.46673,19.14314,23.36918,109314.73713997,0
METIS.V,D,20220628,000000,23.34803,28.69415,21.0649,21.4045,138965.51490551,0
METIS.V,D,20220629,000000,21.3943,21.4844,18.5747,19.46642,89778.568677162,0
METIS.V,D,20220630,000000,19.51655,19.51655,17.58764,18.56769,194531.42180813,0
METIS.V,D,20220701,000000,18.68755,19.75626,18.40604,19.11895,78876.507453716,0
METIS.V,D,20220702,000000,19,19.93605,18.58953,19.86613,46966.772544266,0
METIS.V,D,20220703,000000,19.78425,19.8961,18.72563,19.38477,24831.339933228,0
METIS.V,D,20220704,000000,19.1251,19.93605,18.4778,19.93605,23805.404991143,0
METIS.V,D,20220705,000000,19.96601,20.91487,18.67943,19.52849,28185.209853054,0
METIS.V,D,20220706,000000,19.60841,19.78821,18.85923,19.63837,26821.715072882,0
METIS.V,D,20220707,000000,19.58843,22.33988,19.54847,21.52708,36876.099022046,0
