<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OGN.V,D,20220514,000000,0.225416,0.225416,0.224318,0.224318,2786.87042,0
OGN.V,D,20220515,000000,0.223764,0.237443,0.21604,0.231322,6362125.1774193,0
OGN.V,D,20220516,000000,0.231322,0.23809,0.211046,0.217617,5982461.7846948,0
OGN.V,D,20220517,000000,0.218516,0.234242,0.21268,0.233896,5893555.105937,0
OGN.V,D,20220518,000000,0.234195,0.259288,0.216119,0.222211,18176702.669409,0
OGN.V,D,20220519,000000,0.221312,0.270057,0.210726,0.259366,14367541.069675,0
OGN.V,D,20220520,000000,0.258641,0.26628,0.227672,0.233519,12231341.75454,0
OGN.V,D,20220521,000000,0.234219,0.244957,0.228825,0.236292,9587669.3476741,0
OGN.V,D,20220522,000000,0.235493,0.249675,0.232697,0.240711,7906816.0491317,0
OGN.V,D,20220523,000000,0.240411,0.259215,0.238138,0.246903,8895273.3472394,0
OGN.V,D,20220524,000000,0.244681,0.244681,0.220535,0.237591,9919994.7943376,0
OGN.V,D,20220525,000000,0.23779,0.242609,0.222533,0.225352,6798356.3753951,0
OGN.V,D,20220526,000000,0.22503,0.229148,0.192987,0.204895,9029293.2076624,0
OGN.V,D,20220527,000000,0.204774,0.214885,0.185196,0.191708,14801943.782574,0
OGN.V,D,20220528,000000,0.191082,0.207786,0.188666,0.197171,12311270.356465,0
OGN.V,D,20220529,000000,0.197069,0.205472,0.191009,0.201382,11876362.394416,0
OGN.V,D,20220530,000000,0.202075,0.234436,0.200885,0.229916,18815815.086255,0
OGN.V,D,20220531,000000,0.230116,0.393585,0.226096,0.342791,189776060.63781,0
OGN.V,D,20220601,000000,0.343525,0.358913,0.2722,0.27755,70414072.444248,0
OGN.V,D,20220602,000000,0.27775,0.312119,0.264236,0.293436,40336974.665002,0
OGN.V,D,20220603,000000,0.292936,0.343339,0.282018,0.290047,58488580.436457,0
OGN.V,D,20220604,000000,0.290147,0.290647,0.273667,0.286082,25009647.044212,0
OGN.V,D,20220605,000000,0.286082,0.295334,0.27037,0.27664,27231272.979801,0
OGN.V,D,20220606,000000,0.276939,0.295455,0.271742,0.279365,46873167.204176,0
OGN.V,D,20220607,000000,0.279362,0.283059,0.244697,0.272676,43256109.015084,0
OGN.V,D,20220608,000000,0.272382,0.302209,0.25834,0.269924,59870409.323761,0
