<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LSK.V,D,20220514,000000,1.19497,1.19696,1.07574,1.15926,114659.75778438512,0
LSK.V,D,20220515,000000,1.15738,1.30018,1.14927,1.23751,280397.0106265047,0
LSK.V,D,20220516,000000,1.24738,1.31355,1.16026,1.19544,67401.13308113992,0
LSK.V,D,20220517,000000,1.19944,1.28832,1.17535,1.2495,121187.96016020942,0
LSK.V,D,20220518,000000,1.25836,1.3063,1.13053,1.1535,168801.6115555604,0
LSK.V,D,20220519,000000,1.14839,1.16783,1.06672,1.14697,60813.74407316934,0
LSK.V,D,20220520,000000,1.14985,1.20292,1.09568,1.12154,138958.7234470024,0
LSK.V,D,20220521,000000,1.11866,1.16349,1.11266,1.14751,51795.611613892244,0
LSK.V,D,20220522,000000,1.14739,1.33826,1.14739,1.27147,358281.162582749,0
LSK.V,D,20220523,000000,1.26848,1.4016,1.25736,1.29345,359475.59713547555,0
LSK.V,D,20220524,000000,1.28246,1.42343,1.16971,1.25736,863617.6254190032,0
LSK.V,D,20220525,000000,1.27234,1.29518,1.22465,1.26161,143711.08843665532,0
LSK.V,D,20220526,000000,1.26548,1.29857,1.11277,1.2028,202874.83401811056,0
LSK.V,D,20220527,000000,1.19568,1.21978,1.10878,1.14286,91062.74089142155,0
LSK.V,D,20220528,000000,1.13869,1.34254,1.12547,1.18363,757023.314699945,0
LSK.V,D,20220529,000000,1.18359,1.35445,1.17271,1.21874,781951.9778599478,0
LSK.V,D,20220530,000000,1.22063,1.35055,1.22063,1.32294,391609.503707429,0
LSK.V,D,20220531,000000,1.32107,1.34193,1.25012,1.29197,128173.63961451621,0
LSK.V,D,20220601,000000,1.29203,1.40766,1.26061,1.26186,356421.68424466986,0
LSK.V,D,20220602,000000,1.25687,1.38675,1.25087,1.35678,194929.4164696085,0
LSK.V,D,20220603,000000,1.36177,1.38675,1.28109,1.32684,97084.66244085472,0
LSK.V,D,20220604,000000,1.32285,1.37268,1.27466,1.317,1066144.2032317584,0
LSK.V,D,20220605,000000,1.31801,1.49879,1.29095,1.40268,2682895.803843005,0
LSK.V,D,20220606,000000,1.40068,1.51279,1.36873,1.41681,5302500.03833902,0
LSK.V,D,20220607,000000,1.41981,1.43481,1.3229,1.40784,2523894.937786884,0
LSK.V,D,20220608,000000,1.41191,1.45007,1.33312,1.3761,2241572.052180704,0
LSK.V,D,20220609,000000,1.3761,1.3889,1.33291,1.34287,1427592.1101582681,0
LSK.V,D,20220610,000000,1.34186,1.34987,1.20169,1.22944,1678460.3632315525,0
LSK.V,D,20220611,000000,1.22944,1.28063,1.1087,1.14768,272302.60438553256,0
LSK.V,D,20220612,000000,1.1497,1.22159,1.05163,1.12162,437901.78701704927,0
LSK.V,D,20220613,000000,1.11962,1.11962,0.92174,0.97666,6311408.606719027,0
LSK.V,D,20220614,000000,0.96665,0.96965,0.85474,0.93288,5599741.196866805,0
LSK.V,D,20220615,000000,0.93187,0.98791,0.86943,0.97953,10357231.546819871,0
LSK.V,D,20220616,000000,0.98961,1.09768,0.95985,1.00359,3261227.373802549,0
LSK.V,D,20220617,000000,0.95267,1.026843,0.93769,0.993806,5569959.767593583,0
LSK.V,D,20220618,000000,0.994805,1.020753,0.863772,0.910523,6891392.827003328,0
LSK.V,D,20220619,000000,0.910523,0.991808,0.886677,0.988812,1622783.5181584007,0
LSK.V,D,20220620,000000,0.987813,1.012885,0.941774,0.99081,857101.934769832,0
LSK.V,D,20220621,000000,0.982918,1.084024,0.982918,1.047951,394876.71334670275,0
LSK.V,D,20220622,000000,1.050843,1.093795,1.000898,1.015983,525721.6587502988,0
LSK.V,D,20220623,000000,1.015983,1.066932,1.013985,1.052841,154580.59677016037,0
LSK.V,D,20220624,000000,1.059939,1.10013,1.051947,1.090138,894443.3926040694,0
LSK.V,D,20220625,000000,1.090908,1.114219,1.051274,1.100229,1687742.4893753363,0
LSK.V,D,20220626,000000,1.094255,1.10157,1.061352,1.078342,1184256.70614859,0
LSK.V,D,20220627,000000,1.077342,1.718555,1.046351,1.235911,5538137.180529256,0
